asset_id,parent_asset_id,asset_type,asset_name,operational_status,voltage_kv,rating_kva,manufacturer,model,serial_number,commissioned_date
SS-001,,SUBSTATION,Aurora Substation (North),IN_SERVICE,22,,,,SUB-7001,15/2/09
TX-001-1,SS-001,TRANSFORMER,Aurora Transformer T1,IN_SERVICE,22,2000,Arcwell Industries,TXR-2000,TX00101A,12/3/10
TX-001-2,SS-001,TRANSFORMER,Aurora Transformer T2,MAINTENANCE,22,1000,Helios Gridworks,TXR-1000,TX00102A,12/4/11
LVB-001-1,SS-001,LV_BOARD,Aurora Main LV Board 1,MAINTENANCE,0.4,,Helios Gridworks,LVB-400,LV00101B,20/6/11
SWB-001-1,SS-001,SWITCHBOARD,Aurora 22kV Switchboard A,OUT_OF_SERVICE,22,,Northstar Electrical,SWB-22,SW00101C,10/9/10
PNL-001-1-01,SWB-001-1,SWITCHBOARD_PANEL,Aurora Panel A1,MAINTENANCE,22,,Helios Gridworks,PNL-22,PN0010101,11/9/10
PNL-001-1-02,SWB-001-1,SWITCHBOARD_PANEL,Aurora Panel A2,OUT_OF_SERVICE,22,,Northstar Electrical,PNL-22,PN0010102,12/9/10
PNL-001-1-03,SWB-001-1,SWITCHBOARD_PANEL,Aurora Panel A3,IN_SERVICE,22,,Meridian Power Systems,PNL-22,PN0010103,13/9/10
PNL-001-1-04,SWB-001-1,SWITCHBOARD_PANEL,Aurora Panel A4,IN_SERVICE,22,,Arcwell Industries,PNL-22,PN0010104,14/9/10
PNL-001-1-05,SWB-001-1,SWITCHBOARD_PANEL,Aurora Panel A5,IN_SERVICE,22,,Helios Gridworks,PNL-22,PN0010105,15/9/10
SWB-001-2,SS-001,SWITCHBOARD,Aurora 22kV Switchboard B,IN_SERVICE,22,,Meridian Power Systems,SWB-22,SW00102C,10/9/10
PNL-001-2-01,SWB-001-2,SWITCHBOARD_PANEL,Aurora Panel B1,OUT_OF_SERVICE,22,,Northstar Electrical,PNL-22,PN0010201,11/9/10
PNL-001-2-02,SWB-001-2,SWITCHBOARD_PANEL,Aurora Panel B2,IN_SERVICE,22,,Meridian Power Systems,PNL-22,PN0010202,12/9/10
PNL-001-2-03,SWB-001-2,SWITCHBOARD_PANEL,Aurora Panel B3,IN_SERVICE,22,,Arcwell Industries,PNL-22,PN0010203,13/9/10
PNL-001-2-04,SWB-001-2,SWITCHBOARD_PANEL,Aurora Panel B4,IN_SERVICE,22,,Helios Gridworks,PNL-22,PN0010204,14/9/10
PNL-001-2-05,SWB-001-2,SWITCHBOARD_PANEL,Aurora Panel B5,MAINTENANCE,22,,Northstar Electrical,PNL-22,PN0010205,15/9/10
SS-002,,SUBSTATION,Beacon Substation (North),IN_SERVICE,22,,,,SUB-7002,15/3/10
TX-002-1,SS-002,TRANSFORMER,Beacon Transformer T1,MAINTENANCE,22,1000,Helios Gridworks,TXR-1000,TX00201A,12/3/11
TX-002-2,SS-002,TRANSFORMER,Beacon Transformer T2,OUT_OF_SERVICE,22,1500,Northstar Electrical,TXR-1500,TX00202A,12/4/12
LVB-002-1,SS-002,LV_BOARD,Beacon Main LV Board 1,OUT_OF_SERVICE,0.4,,Northstar Electrical,LVB-400,LV00201B,20/6/12
SWB-002-1,SS-002,SWITCHBOARD,Beacon 22kV Switchboard A,IN_SERVICE,22,,Meridian Power Systems,SWB-22,SW00201C,10/9/11
PNL-002-1-01,SWB-002-1,SWITCHBOARD_PANEL,Beacon Panel A1,OUT_OF_SERVICE,22,,Northstar Electrical,PNL-22,PN0020101,11/9/11
PNL-002-1-02,SWB-002-1,SWITCHBOARD_PANEL,Beacon Panel A2,IN_SERVICE,22,,Meridian Power Systems,PNL-22,PN0020102,12/9/11
PNL-002-1-03,SWB-002-1,SWITCHBOARD_PANEL,Beacon Panel A3,IN_SERVICE,22,,Arcwell Industries,PNL-22,PN0020103,13/9/11
PNL-002-1-04,SWB-002-1,SWITCHBOARD_PANEL,Beacon Panel A4,IN_SERVICE,22,,Helios Gridworks,PNL-22,PN0020104,14/9/11
PNL-002-1-05,SWB-002-1,SWITCHBOARD_PANEL,Beacon Panel A5,MAINTENANCE,22,,Northstar Electrical,PNL-22,PN0020105,15/9/11
SWB-002-2,SS-002,SWITCHBOARD,Beacon 22kV Switchboard B,IN_SERVICE,22,,Arcwell Industries,SWB-22,SW00202C,10/9/11
PNL-002-2-01,SWB-002-2,SWITCHBOARD_PANEL,Beacon Panel B1,IN_SERVICE,22,,Meridian Power Systems,PNL-22,PN0020201,11/9/11
PNL-002-2-02,SWB-002-2,SWITCHBOARD_PANEL,Beacon Panel B2,IN_SERVICE,22,,Arcwell Industries,PNL-22,PN0020202,12/9/11
PNL-002-2-03,SWB-002-2,SWITCHBOARD_PANEL,Beacon Panel B3,IN_SERVICE,22,,Helios Gridworks,PNL-22,PN0020203,13/9/11
PNL-002-2-04,SWB-002-2,SWITCHBOARD_PANEL,Beacon Panel B4,MAINTENANCE,22,,Northstar Electrical,PNL-22,PN0020204,14/9/11
PNL-002-2-05,SWB-002-2,SWITCHBOARD_PANEL,Beacon Panel B5,OUT_OF_SERVICE,22,,Meridian Power Systems,PNL-22,PN0020205,15/9/11
SS-003,,SUBSTATION,Cobalt Substation (East),IN_SERVICE,22,,,,SUB-7003,15/4/11
TX-003-1,SS-003,TRANSFORMER,Cobalt Transformer T1,OUT_OF_SERVICE,22,1500,Northstar Electrical,TXR-1500,TX00301A,12/3/12
